Fluid,Type,Rho_reduced,Temp_reduced,D_reduced,Ref.
Carbon Disulfide,CS2,0.816767561,0.71233194,7.913192234,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.842271684,0.71233194,6.587955872,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.926649811,0.71233194,3.01506232,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.858321008,0.72508061,5.942901912,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.921803233,0.72508061,3.344570403,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872940194,0.752171534,5.718614897,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.899159386,0.752171534,4.3944345,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.806836049,0.778200069,9.824512765,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.778200069,6.09378761,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.93189365,0.778200069,3.507400242,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.887162119,0.792011128,5.63298785,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.785463434,0.831319527,11.88815041,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.831307294,0.831319527,8.773968157,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.831319527,6.697940517,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.805088102,0.831850722,10.41036227,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872463481,0.831850722,6.758341728,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.846323741,0.749430283,7.114483601,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.843225109,0.825917778,8.201494208,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.926888168,0.790452638,3.960432791,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.820819618,0.79964913,9.010785959,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.80802783,0.81528931,9.806303231,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.895027877,0.732424811,4.553110875,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.853951142,0.736435819,6.402199855,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.888274448,0.739723318,4.885387934,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.908931994,0.782761012,4.634936447,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.896855275,0.806929818,5.308595332,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.850773058,0.779332044,7.084447256,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.922597754,0.75713388,3.870065633,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.880329239,0.791526163,5.870157641,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.912984051,0.793028443,4.796757252,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.804293581,0.758356897,9.388187932,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.898921029,0.804371543,5.172493147,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.87015937,0.827057963,6.730229587,"Angelis et al., 2025"
Carbon Disulfide,CS2,0.872701837,0.769395171,5.775285031,"Angelis et al., 2025"
Cyclohexane,C6H12,1.063177958,1.252725539,2.763379274,"Leverant et al., 2023"
Cyclohexane,C6H12,1.047180413,1.307334945,3.674647377,"Leverant et al., 2023"
Cyclohexane,C6H12,1.051509161,1.313649713,3.493964702,"Leverant et al., 2023"
Cyclohexane,C6H12,1.042098841,1.325923488,3.891059483,"Leverant et al., 2023"
Cyclohexane,C6H12,1.059790242,1.326101369,3.3135215,"Leverant et al., 2023"
Cyclohexane,C6H12,1.035699823,1.348158588,4.399581233,"Leverant et al., 2023"
Cyclohexane,C6H12,1.029300805,1.370393689,4.8467499,"Leverant et al., 2023"
Cyclohexane,C6H12,1.029112599,1.392806669,5.020918899,"Leverant et al., 2023"
Cyclohexane,C6H12,1.063930783,1.45951197,4.085775299,"Leverant et al., 2023"
Cyclohexane,C6H12,1.063177958,1.480857666,4.17208151,"Leverant et al., 2023"
Cyclohexane,C6H12,1.092161743,1.480857666,3.071844952,"Leverant et al., 2023"
Cyclohexane,C6H12,0.995423653,1.486416441,7.388544444,"Leverant et al., 2023"
Cyclohexane,C6H12,0.989401048,1.505360746,7.941344825,"Leverant et al., 2023"
Cyclohexane,C6H12,0.981308173,1.532087336,8.335039083,"Leverant et al., 2023"
Cyclohexane,C6H12,0.968321932,1.570509589,9.6512088,"Leverant et al., 2023"
Cyclohexane,C6H12,0.942349448,1.65944999,11.8490956,"Leverant et al., 2023"
Cyclohexane,C6H12,0.904896375,1.77062549,15.90759488,"Leverant et al., 2023"
Cyclohexane,C6H12,0.883064432,1.837508671,19.06545868,"Leverant et al., 2023"
Cyclohexane,C6H12,0.815498334,2.015389472,28.81959314,"Leverant et al., 2023"
Cyclohexane,C6H12,0.760353859,1.942706283,32.92160474,"Angelis et al., 2025"
Cyclohexane,C6H12,0.816439366,1.569563046,21.15936613,"Angelis et al., 2025"
Cyclohexane,C6H12,0.778233467,1.429234972,21.37934639,"Angelis et al., 2025"
Cyclohexane,C6H12,0.719701276,1.482989545,30.06792004,"Angelis et al., 2025"
Cyclohexane,C6H12,0.950818736,2.048932855,16.08245835,"Angelis et al., 2025"
Cyclohexane,C6H12,1.031559282,1.737610298,8.047694959,"Angelis et al., 2025"
Cyclohexane,C6H12,1.015373532,1.818921737,9.25059376,"Angelis et al., 2025"
Cyclohexane,C6H12,0.901696866,1.506534817,13.12445905,"Angelis et al., 2025"
Cyclohexane,C6H12,0.885887528,2.02833501,20.85827624,"Angelis et al., 2025"
Cyclohexane,C6H12,0.871960254,2.03310587,22.77693706,"Angelis et al., 2025"
Cyclohexane,C6H12,0.894356816,1.412203357,12.36429866,"Angelis et al., 2025"
Cyclohexane,C6H12,0.89416861,1.488431297,13.50876595,"Angelis et al., 2025"
Cyclohexane,C6H12,0.920141093,2.132427092,18.86202603,"Angelis et al., 2025"
Cyclohexane,C6H12,1.045486556,1.5209811,5.420025257,"Angelis et al., 2025"
Cyclohexane,C6H12,1.007657069,2.206786625,13.00651841,"Angelis et al., 2025"
Cyclohexane,C6H12,0.760165652,1.967785581,34.24867049,"Angelis et al., 2025"
Cyclohexane,C6H12,0.928798587,2.211478276,18.70644017,"Angelis et al., 2025"
Cyclohexane,C6H12,1.020831517,1.493006675,6.105206529,"Angelis et al., 2025"
Cyclohexane,C6H12,1.024972058,2.082576407,11.00801715,"Angelis et al., 2025"
Cyclohexane,C6H12,0.906402026,1.373803023,11.12464069,"Angelis et al., 2025"
Cyclohexane,C6H12,0.931998096,1.956024192,15.99763688,"Angelis et al., 2025"
Cyclohexane,C6H12,0.813428064,1.829399988,26.93474596,"Angelis et al., 2025"
Cyclohexane,C6H12,0.968510138,1.277683505,6.807581992,"Angelis et al., 2025"
Cyclohexane,C6H12,1.031559282,1.538885936,5.948111983,"Angelis et al., 2025"
Cyclohexane,C6H12,0.73155828,1.775484206,36.19460734,"Angelis et al., 2025"
Cyclohexane,C6H12,0.758283588,2.006073668,39.43300603,"Angelis et al., 2025"
Cyclohexane,C6H12,0.916188759,2.240896945,21.81729533,"Angelis et al., 2025"
Cyclohexane,C6H12,0.797806933,1.516967233,22.31690867,"Angelis et al., 2025"
Cyclohexane,C6H12,0.976414807,2.208736457,14.77933994,"Angelis et al., 2025"
Cyclohexane,C6H12,0.797618726,2.225279389,32.42934323,"Angelis et al., 2025"
Ethane,C2H6,0.849644657,0.724333585,6.474837222,"Leverant et al., 2023"
Ethane,C2H6,0.836974262,0.855180942,9.137032916,"Leverant et al., 2023"
