Fluid,Type,Rho_reduced,Temp_reduced,H_reduced,D_reduced,Ref.
Carbon Disulfide,CS2,0.785463434,0.831319527,7.908797607,10.03824013,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.805088102,0.831850722,7.908797607,9.685805865,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.806836049,0.778200069,7.908797607,8.619539109,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.816767561,0.71233194,7.908797607,6.993563849,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.831307294,0.831319527,7.908797607,7.925863817,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.842271684,0.71233194,7.908797607,5.727039153,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.858321008,0.72508061,7.908797607,5.313194647,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872463481,0.831850722,7.908797607,5.956254006,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.778200069,7.908797607,5.584343052,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.831319527,7.908797607,5.727954323,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872940194,0.752171534,7.908797607,4.977350772,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.887162119,0.792011128,7.908797607,5.175754906,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.899159386,0.752171534,7.908797607,3.760620703,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.921803233,0.72508061,7.908797607,0.626539369,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.926649811,0.71233194,7.908797607,0.516249668,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.93189365,0.778200069,7.908797607,0.647658674,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.785463434,0.831319527,11.86319641,11.41944265,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.805088102,0.831850722,11.86319641,10.00332288,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.806836049,0.778200069,11.86319641,9.204168391,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.816767561,0.71233194,11.86319641,7.286582467,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.831307294,0.831319527,11.86319641,8.603206847,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.842271684,0.71233194,11.86319641,5.949167306,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.858321008,0.72508061,11.86319641,5.435780477,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872463481,0.831850722,11.86319641,6.221324744,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.778200069,11.86319641,5.486208683,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872781289,0.831319527,11.86319641,6.234629906,"Leverant et al., 2023"
Carbon Disulfide,CS2,0.872940194,0.752171534,11.86319641,5.384577896,"Leverant et al., 2023"
